RK,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
330,Ryan Porteous,DF,Scotland,24,1999,0.5,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0
331,Stefan Posch,DF,Austria,26,1997,4.0,15,9,4,8,3,9,13,69.2,4,11,4,7,6,21,11,0
332,Yussuf Poulsen,"FW,MF",Denmark,29,1994,0.6,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,1,0
333,Alexander Prass,DF,Austria,22,2001,1.8,7,2,4,2,1,4,10,40.0,6,1,0,1,2,9,1,0
334,Lukáš Provod,MF,Czechia,27,1996,2.6,5,5,2,1,2,3,5,60.0,2,3,1,2,0,5,2,0
335,George Pușcaș,FW,Romania,27,1996,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
336,Leopold Querfeld,DF,Austria,20,2003,0.3,2,2,1,1,0,2,2,100.0,0,0,0,0,1,3,1,0
337,Adrien Rabiot,MF,France,28,1995,4.1,9,5,3,5,1,4,5,80.0,1,3,0,3,1,10,2,0
338,Bogdan Racovitan,DF,Romania,23,2000,0.6,0,0,0,0,0,0,1,0.0,1,2,2,0,1,1,3,1
339,Predrag Rajković,GK,Serbia,28,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
340,Anthony Ralston,DF,Scotland,25,1998,2.9,3,2,3,0,0,1,3,33.3,2,5,1,4,1,4,7,1
341,Ylber Ramadani,MF,Albania,27,1996,2.9,6,3,2,3,1,5,9,55.6,4,8,3,5,4,10,4,0
342,Gonçalo Ramos,FW,Portugal,22,2001,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
343,Giacomo Raspadori,FW,Italy,23,2000,0.9,3,1,1,2,0,1,2,50.0,1,0,0,0,0,3,0,0
344,Andrei Ratiu,DF,Romania,25,1998,4.0,6,5,4,2,0,4,5,80.0,1,6,2,4,6,12,15,0
345,David Raum,DF,Germany,25,1998,1.8,5,5,3,1,1,5,7,71.4,2,1,0,1,0,5,1,0
346,David Raya,GK,Spain,28,1995,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
347,Tijjani Reijnders,MF,Netherlands,25,1998,5.5,8,6,1,7,0,3,5,60.0,2,5,1,4,6,14,4,0
348,Mateo Retegui,FW,Italy,24,1999,1.7,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0
349,Declan Rice,MF,England,25,1999,7.7,19,15,11,6,2,5,8,62.5,3,5,1,4,8,27,10,0
350,Fabian Rieder,MF,Switzerland,21,2002,2.4,7,3,1,4,2,3,5,60.0,2,2,1,1,0,7,1,0
351,Andrew Robertson,DF,Scotland,29,1994,3.0,8,5,4,4,0,8,10,80.0,2,2,0,2,1,9,10,1
352,Rodri,MF,Spain,27,1996,5.8,14,8,4,9,1,4,10,40.0,6,7,4,3,1,15,10,0
353,Ricardo Rodríguez,DF,Switzerland,31,1992,5.3,7,6,2,3,2,3,4,75.0,1,5,2,3,3,10,19,0
354,Taras Romanchuk,MF,Poland,32,1991,0.6,2,1,2,0,0,1,2,50.0,1,1,0,1,0,2,1,0
355,Cristiano Ronaldo,FW,Portugal,38,1985,5.4,1,1,0,0,1,1,1,100.0,0,1,1,0,0,1,1,0
356,Antonio Rüdiger,DF,Germany,30,1993,5.3,8,4,7,1,0,6,6,100.0,0,10,6,4,2,10,20,0
357,Fabián Ruiz Peña,MF,Spain,27,1996,6.0,9,6,5,0,4,6,10,60.0,4,3,0,3,4,13,5,1
358,Adrian Rus,MF,Romania,27,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
359,Marcel Sabitzer,"FW,MF",Austria,29,1994,4.0,2,1,0,1,1,2,2,100.0,0,2,0,2,3,5,1,0
360,Bukayo Saka,"FW,DF",England,22,2001,7.0,5,4,2,3,0,2,3,66.7,1,7,0,7,1,6,12,0
361,Bartosz Salamon,DF,Poland,32,1991,0.9,3,2,2,1,0,2,2,100.0,0,1,0,1,2,5,7,0
362,William Saliba,DF,France,22,2001,6.3,5,2,3,2,0,2,3,66.7,1,6,3,3,4,9,30,0
363,Roland Sallai,MF,Hungary,26,1997,3.0,4,2,1,1,2,1,2,50.0,1,0,0,0,1,5,1,0
364,Lazar Samardzic,MF,Serbia,21,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
365,Leroy Sané,FW,Germany,28,1996,2.3,1,1,1,0,0,0,5,0.0,5,2,0,2,0,1,0,0
366,Leo Sauer,FW,Slovakia,18,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
367,Gianluca Scamacca,FW,Italy,25,1999,2.8,1,1,0,0,1,0,0,,0,0,0,0,2,3,1,0
368,András Schäfer,MF,Hungary,24,1999,3.0,6,3,0,6,0,1,3,33.3,2,4,1,3,1,7,3,0
369,Fabian Schär,DF,Switzerland,32,1991,5.3,10,4,7,0,3,4,7,57.1,3,6,4,2,9,19,24,0
370,Patrik Schick,FW,Czechia,28,1996,1.4,1,1,1,0,0,0,3,0.0,3,1,0,1,1,2,4,0
371,Nico Schlotterbeck,DF,Germany,24,1999,1.3,1,1,0,1,0,0,2,0.0,2,1,0,1,2,3,8,1
372,Kasper Schmeichel,GK,Denmark,37,1986,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
373,Romano Schmid,"FW,MF",Austria,24,2000,1.6,2,1,0,1,1,1,3,33.3,2,6,0,6,0,2,2,0
374,Jerdy Schouten,MF,Netherlands,27,1997,5.6,7,3,2,4,1,1,5,20.0,4,5,2,3,5,12,8,0
375,Ivan Schranz,FW,Slovakia,30,1993,3.7,3,1,3,0,0,1,3,33.3,2,0,0,0,2,5,9,0
376,Taulant Seferi,FW,Albania,27,1996,1.0,2,2,0,2,0,2,5,40.0,3,0,0,0,2,4,2,0
377,Nicolas Seiwald,MF,Austria,22,2001,4.0,15,7,5,8,2,4,11,36.4,7,5,1,4,6,21,8,0
378,Nélson Semedo,DF,Portugal,30,1993,1.1,3,2,2,1,0,2,6,33.3,4,1,0,1,0,3,0,0
379,Benjamin Šeško,FW,Slovenia,20,2003,4.0,3,1,1,1,1,1,5,20.0,4,3,1,2,0,3,5,0
380,Petr Ševčík,MF,Czechia,29,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
381,Stephan El Shaarawy,FW,Italy,31,1992,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
382,Lawrence Shankland,FW,Scotland,28,1995,0.3,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,1,0
383,Mykola Shaparenko,MF,Ukraine,25,1998,2.4,3,0,2,1,0,3,4,75.0,1,4,0,4,3,6,1,0
384,Xherdan Shaqiri,"MF,FW",Switzerland,32,1991,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
385,Luke Shaw,DF,England,28,1995,2.0,3,2,2,1,0,3,3,100.0,0,2,0,2,2,5,6,0
386,Vincent Sierro,MF,Switzerland,28,1995,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0
387,António Silva,DF,Portugal,20,2003,0.8,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,1
388,Bernardo Silva,"FW,MF",Portugal,29,1994,4.7,5,4,1,3,1,1,6,16.7,5,2,0,2,0,5,3,0
389,Unai Simón,GK,Spain,26,1997,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
390,Xavi Simons,"MF,FW",Netherlands,20,2003,5.0,8,5,3,4,1,5,6,83.3,1,7,0,7,5,13,0,0
391,Michał Skóraś,DF,Poland,23,2000,0.3,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0
392,Łukasz Skorupski,GK,Poland,32,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
393,Andreas Skov Olsen,"MF,FW",Denmark,24,1999,1.4,1,1,0,0,1,1,2,50.0,1,2,0,2,0,1,2,0
394,Milan Škriniar,DF,Slovakia,28,1995,4.3,3,1,3,0,0,2,4,50.0,2,4,4,0,2,5,17,0
395,Bartosz Slisz,MF,Poland,24,1999,1.2,1,1,0,0,1,0,0,,0,1,0,1,2,3,3,0
396,Yann Sommer,GK,Switzerland,35,1988,5.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
397,Deian Sorescu,"MF,DF",Romania,26,1997,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
398,Borna Sosa,DF,Croatia,26,1998,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0
399,Tomáš Souček,MF,Czechia,28,1995,3.0,5,3,2,2,1,3,6,50.0,3,6,2,4,3,8,5,0
400,Andraž Šporar,FW,Slovenia,29,1994,3.8,2,2,1,0,1,1,1,100.0,0,2,1,1,0,2,4,0
401,Nicolae Stanciu,"MF,FW",Romania,30,1993,3.9,3,2,1,2,0,1,4,25.0,3,1,1,0,1,4,5,0
402,Jindřich Staněk,GK,Czechia,27,1996,2.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
403,Josip Stanišić,DF,Croatia,23,2000,2.0,10,8,3,5,2,5,9,55.6,4,3,1,2,4,14,2,0
404,Renato Steffen,DF,Switzerland,32,1991,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
405,Taras Stepanenko,MF,Ukraine,34,1989,0.9,3,3,3,0,0,3,5,60.0,2,2,1,1,1,4,2,0
406,Leonidas Stergiou,DF,Switzerland,21,2002,0.5,4,2,3,1,0,1,3,33.3,2,0,0,0,0,4,4,0
407,Petar Stojanović,MF,Slovenia,28,1995,3.5,6,5,5,1,0,3,8,37.5,5,4,1,3,1,7,4,0
408,John Stones,DF,England,29,1994,7.7,4,3,2,1,1,2,2,100.0,0,4,4,0,1,5,22,0
409,Thomas Strakosha,GK,Albania,28,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
410,Dávid Strelec,FW,Slovakia,22,2001,2.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
411,Callum Styles,MF,Hungary,23,2000,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
412,Luka Sučić,"FW,MF",Croatia,21,2002,1.6,0,0,0,0,0,0,0,,0,4,0,4,1,1,1,0
413,Heorhiy Sudakov,MF,Ukraine,21,2002,2.9,3,1,2,1,0,3,4,75.0,1,4,1,3,0,3,1,0
414,Pavel Šulc,MF,Czechia,23,2000,0.9,1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,2,0
415,Tomáš Suslov,"FW,MF",Slovakia,21,2002,1.4,4,1,1,3,0,1,4,25.0,3,4,0,4,1,5,0,0
416,Josip Šutalo,DF,Croatia,23,2000,3.0,5,3,5,0,0,2,3,66.7,1,6,5,1,13,18,7,1
417,Oleksandr Svatok,DF,Ukraine,29,1994,0.9,0,0,0,0,0,0,0,,0,2,1,1,3,3,2,0
418,Karol Świderski,FW,Poland,27,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
419,Serhiy Sydorchuk,MF,Ukraine,32,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
420,Attila Szalai,DF,Hungary,26,1998,1.1,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,2,0
421,Wojciech Szczęsny,GK,Poland,33,1990,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
422,Dominik Szoboszlai,MF,Hungary,23,2000,3.0,2,0,0,1,1,0,0,,0,4,1,3,2,4,6,0
423,Sebastian Szymański,MF,Poland,24,1999,1.2,7,2,5,2,0,5,10,50.0,5,3,1,2,3,10,1,0
424,Dušan Tadić,MF,Serbia,35,1988,1.7,2,2,0,1,1,0,0,,0,1,0,1,1,3,3,0
425,Jonathan Tah,DF,Germany,27,1996,3.5,2,1,1,1,0,1,1,100.0,0,2,1,1,4,6,11,0
426,Maksym Talovierov,MF,Ukraine,23,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
427,Aurélien Tchouaméni,MF,France,24,2000,5.2,9,7,3,4,2,3,8,37.5,5,2,1,1,5,14,10,1
428,Arthur Theate,DF,Belgium,23,2000,2.8,2,2,0,0,2,0,1,0.0,1,5,0,5,2,4,9,0
429,Marcus Thuram,FW,France,26,1997,2.9,2,2,0,0,2,0,0,,0,6,2,4,0,2,2,0
430,Youri Tielemans,MF,Belgium,26,1997,1.6,2,2,1,1,0,0,1,0.0,1,3,1,2,1,3,0,0
431,Kieran Tierney,DF,Scotland,26,1997,1.5,2,1,2,0,0,1,3,33.3,2,1,1,0,0,2,4,0
432,Ivan Toney,FW,England,27,1996,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
433,Ferrán Torres,"FW,MF",Spain,23,2000,1.7,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,1,0
434,Cenk Tosun,FW,Türkiye,32,1991,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
435,Gernot Trauner,DF,Austria,31,1992,1.0,2,1,2,0,0,0,1,0.0,1,2,2,0,1,3,1,0
436,Kieran Trippier,DF,England,33,1990,5.0,7,4,3,3,1,3,8,37.5,5,3,1,2,5,12,8,0
437,Leandro Trossard,FW,Belgium,29,1994,1.9,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,0,0
438,Anatolii Trubin,GK,Ukraine,22,2001,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
439,Heorhii Tsitaishvili,"DF,MF",Georgia,23,2000,2.1,5,4,5,0,0,3,3,100.0,0,0,0,0,0,5,3,1
440,Viktor Tsyhankov,FW,Ukraine,26,1997,0.7,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
441,Ľubomír Tupta,MF,Slovakia,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
442,Oleksandr Tymchyk,DF,Ukraine,27,1997,2.2,10,4,5,5,0,6,12,50.0,6,2,0,2,3,13,6,0
443,Deniz Undav,MF,Germany,27,1996,0.1,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
444,Dayot Upamecano,DF,France,25,1998,6.3,9,7,6,3,0,5,6,83.3,1,3,1,2,6,15,24,0
445,Kacper Urbanski,"FW,MF",Poland,19,2004,1.6,2,1,2,0,0,1,3,33.3,2,2,0,2,1,3,2,0
446,Virgil van Dijk,DF,Netherlands,32,1991,6.0,4,2,4,0,0,1,1,100.0,0,5,4,1,2,6,36,1
447,Vladyslav Vanat,FW,Ukraine,22,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
448,Barnabás Varga,FW,Hungary,30,1994,2.8,4,1,1,2,1,2,2,100.0,0,5,1,4,1,5,7,0
449,Ruben Vargas,"MF,FW",Switzerland,25,1998,3.4,6,5,3,2,1,2,4,50.0,2,5,0,5,2,8,4,1
450,Denis Vavro,DF,Slovakia,27,1996,4.3,2,1,2,0,0,2,4,50.0,2,6,5,1,2,4,18,0
451,Joey Veerman,MF,Netherlands,25,1998,2.3,3,1,1,1,1,3,7,42.9,4,4,1,3,1,4,1,0
452,Miloš Veljković,DF,Serbia,28,1995,3.0,2,0,2,0,0,2,2,100.0,0,0,0,0,0,2,6,0
453,Micky van de Ven,DF,Netherlands,22,2001,0.8,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,5,0
454,Benjamin Verbič,MF,Slovenia,30,1993,0.8,3,2,1,2,0,1,3,33.3,2,0,0,0,1,4,2,0
455,Bart Verbruggen,GK,Netherlands,21,2002,6.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,4,0
456,Jan Vertonghen,DF,Belgium,36,1987,3.0,4,2,1,3,0,0,0,,0,2,1,1,0,4,10,0
457,Jannik Vestergaard,DF,Denmark,31,1992,4.0,3,3,3,0,0,3,3,100.0,0,3,2,1,4,7,12,0
458,Žan Vipotnik,FW,Slovenia,21,2002,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
459,Vitinha,MF,Portugal,23,2000,4.0,3,3,0,2,1,1,3,33.3,2,3,1,2,2,5,3,0
460,Daniel Vivian,DF,Spain,24,1999,1.4,2,2,2,0,0,2,3,66.7,1,1,1,0,1,3,10,0
461,Dušan Vlahović,"MF,FW",Serbia,24,2000,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
462,Stefan de Vrij,DF,Netherlands,31,1992,6.0,12,7,7,4,1,8,10,80.0,2,6,2,4,2,14,20,0
463,Kyle Walker,DF,England,33,1990,7.7,7,4,3,3,1,4,7,57.1,3,7,1,6,6,13,7,0
464,Ollie Watkins,FW,England,28,1995,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
465,Wout Weghorst,FW,Netherlands,31,1992,1.5,2,1,1,1,0,1,1,100.0,0,2,1,1,0,2,2,0
466,Andreas Weimann,FW,Austria,32,1991,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
467,Silvan Widmer,DF,Switzerland,30,1993,3.3,2,1,1,1,0,1,1,100.0,0,3,1,2,2,4,11,0
468,Georginio Wijnaldum,MF,Netherlands,33,1990,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
469,Nico Williams,FW,Spain,21,2002,5.5,3,2,0,1,2,1,5,20.0,4,5,0,5,0,3,1,0
470,Patrick Wimmer,"FW,MF",Austria,22,2001,1.5,2,2,0,2,0,1,5,20.0,4,4,0,4,0,2,1,0
471,Jonas Wind,FW,Denmark,24,1999,2.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
472,Florian Wirtz,"FW,MF",Germany,20,2003,3.1,3,3,0,2,1,1,3,33.3,2,3,0,3,1,4,1,0
473,Maximilian Wöber,DF,Austria,25,1998,1.9,4,3,2,2,0,2,3,66.7,1,3,2,1,4,8,6,0
474,Granit Xhaka,MF,Switzerland,31,1992,5.3,8,5,3,4,1,4,6,66.7,2,5,4,1,1,9,15,0
475,Lamine Yamal,FW,Spain,16,2007,5.6,11,6,5,4,2,5,9,55.6,4,6,0,6,3,14,2,0
476,Roman Yaremchuk,FW,Ukraine,28,1995,1.3,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,1,0
477,Andriy Yarmolenko,"FW,MF",Ukraine,34,1989,1.2,2,2,0,1,1,1,3,33.3,2,1,0,1,1,3,0,0
478,Yusuf Yazıcı,"MF,FW",Türkiye,27,1997,0.6,1,1,0,0,1,1,3,33.3,2,0,0,0,0,1,0,0
479,Kenan Yıldız,"FW,MF",Türkiye,18,2005,3.8,3,2,2,1,0,2,2,100.0,0,4,0,4,0,3,2,0
480,Okay Yokuşlu,"MF,DF",Türkiye,29,1994,0.6,2,1,1,1,0,0,1,0.0,1,2,0,2,2,4,4,0
481,İsmail Yüksek,MF,Türkiye,25,1999,1.7,6,2,2,3,1,3,5,60.0,2,2,1,1,1,7,4,0
482,Illia Zabarnyi,DF,Ukraine,21,2002,3.0,4,3,4,0,0,1,2,50.0,1,2,2,0,1,5,7,0
483,Mattia Zaccagni,"MF,FW",Italy,28,1995,0.9,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0
484,Denis Zakaria,MF,Switzerland,27,1996,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
485,Nicola Zalewski,DF,Poland,22,2002,2.7,3,1,2,1,0,1,5,20.0,4,2,1,1,2,5,4,0
486,Piotr Zieliński,MF,Poland,29,1994,2.8,0,0,0,0,0,0,2,0.0,2,4,0,4,2,2,3,0
487,Oleksandr Zinchenko,DF,Ukraine,27,1996,2.4,6,5,4,1,1,4,8,50.0,4,4,1,3,1,7,4,0
488,Joshua Zirkzee,"FW,DF",Netherlands,22,2001,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
489,Andrija Živković,DF,Serbia,27,1996,2.7,2,2,2,0,0,1,2,50.0,1,3,0,3,0,2,5,0
490,Budu Zivzivadze,"FW,MF",Georgia,29,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
491,Steven Zuber,MF,Switzerland,32,1991,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
492,Martín Zubimendi,MF,Spain,24,1999,1.6,8,5,3,3,2,4,6,66.7,2,1,1,0,0,8,0,0
493,Oleksandr Zubkov,FW,Ukraine,27,1996,0.3,1,0,1,0,0,0,3,0.0,3,1,0,1,0,1,1,0
