right,left,left href,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,left href 3,right 28,right 29
1,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1.0,3,0,0,1,1.6,0.54,-0.4,-0.37,3,7,42.9,33,3,21.2,31.2,2,0.0,7.5,8,2,25.0,0,0.00,12.2,https://fbref.com/en/players/072e68ed/matchlogs/2024/keeper/Altay-Bayindir-Match-Logs,,
2,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4.0,2,0,0,1,2.7,+0.43,+1.7,19,8,0.20,17.8,107,31,27.1,34.3,35,34.7,4,48,25.8,8.3,4,1.00,13.8,https://fbref.com/en/players/db401046/matchlogs/2024/keeper/Koen-Casteels-Match-Logs,,
3,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,5.7,3,0,0,1,3.5,+0.11,+0.5,29,6,0.18,13.2,129,18,27.2,3.8,26,25.6,2,41,33.3,4.9,6,1.20,21.0,https://fbref.com/en/players/93fffbcf/matchlogs/2024/keeper/Diogo-Costa-Match-Logs,,
4,Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-137,1999,4.0,5,0,0,1,6.0,+0.49,+2.0,16,10,0.30,22.1,86,23,26.3,25.0,16,27.1,3,41,43.5,7.3,2,0.50,10.1,https://fbref.com/en/players/08f5afaa/matchlogs/2024/keeper/Gianluigi-Donnarumma-Match-Logs,,
5,Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,35-178,1989,4.3,5,0,0,1,5.0,,+0.01,20,18,0.25,31.9,138,61,30.1,73.9,23,54.7,2,57,29.5,3.5,4,1.00,11.8,https://fbref.com/en/players/3a949a25/matchlogs/2024/keeper/Martin-Dubravka-Match-Logs,0.0,
6,Péter Gulácsi,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-066,1990,3.0,5,0,0,0.39,5.4,+0.14,+0.4,28.9,10,30,31.8,83,33.3,42.9,39.0,14,1,2.3,43,17,0.33,1,10.1,,https://fbref.com/en/players/bcb2ccd8/matchlogs/2024/keeper/Peter-Gulacsi-Match-Logs,0,
7,Angus Gunn,https://fbref.com/en/players/e082af5b/Angus-Gunn,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-171,1996,3.0,7,0,0,1,5.3,-0.56,-1.7,13,28,0.24,51.6,95,69,38.1,90.9,22,62.9,2,45,40.6,4.4,10,3.33,18.0,https://fbref.com/en/players/e082af5b/matchlogs/2024/keeper/Angus-Gunn-Match-Logs,,
8,Mert Günok,https://fbref.com/en/players/b583aef5/Mert-Gunok,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,35-132,1989,4.0,5,0,10.2,2,5.8,+0.46,+1.8,25.9,15,1,17,98,0.33,42.9,40.8,30,53.3,46.8,73,58,5,3,6.8,0.75,https://fbref.com/en/players/b583aef5/matchlogs/2024/keeper/Mert-Gunok-Match-Logs,,
9,Matej Kovar,https://fbref.com/en/players/bc67a0e1/Matej-Kovar,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,24-055,2000,0.4,1,0,0,14,0.4,0.19,-0.6,-1.55,5,2,35.7,16,,81.3,48.8,2,0.0,50.0,2,,54.5,0,0.00,,https://fbref.com/en/players/bc67a0e1/matchlogs/2024/keeper/Matej-Kovar-Match-Logs,0,0
10,Dominik Livaković,https://fbref.com/en/players/58f077c0/Dominik-Livakovic,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,29-184,1995,3.0,6,0,0,1,6.6,+0.20,+0.6,20,10,0.44,36.8,76,33,32.7,29.4,17,30.1,1.67,35,30.3,16.3,5,,,https://fbref.com/en/players/58f077c0/matchlogs/2024/keeper/Dominik-Livakovic-Match-Logs,0,0.0
11,Andriy Lunin,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,25-151,1999,1.0,3,0,0,1,1.4,0.32,-1.6,-1.59,20,6,17.5,4,0.0,20.5,1.00,9,0.0,10.0,1,,,0,0.0,,https://fbref.com/en/players/3061e1ec/matchlogs/2024/keeper/Andriy-Lunin-Match-Logs,0,0
12,Mike Maignan,https://fbref.com/en/players/fcb38f57/Mike-Maignan,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,29-008,1995,6.3,3,0,0,1,5.3,+0.38,+2.3,27,8,0.25,21.4,140,33,29.7,12.0,25,26.7,3,78,24.2,3.8,10,1.67,15.2,https://fbref.com/en/players/fcb38f57/matchlogs/2024/keeper/Mike-Maignan-Match-Logs,,
13,Giorgi Mamardashvili,https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-286,2000,4.0,8,0,0,1,12.1,+1.03,+4.1,21,18,0.33,53.8,80,74,42.9,70.5,44,52.9,9,106,24.3,8.5,1,0.25,7.0,https://fbref.com/en/players/d4b73232/matchlogs/2024/keeper/Giorgi-Mamardashvili-Match-Logs,,
14,Manuel Neuer,https://fbref.com/en/players/8778c910/Manuel-Neuer,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,38-106,1986,5.3,4,0,0,1,4.9,+0.38,+1.9,29,9,0.36,15.0,127,23,27.2,22.2,18,23.3,2,42,39.1,4.8,2,0.40,15.5,https://fbref.com/en/players/8778c910/matchlogs/2024/keeper/Manuel-Neuer-Match-Logs,,
15,Florin Niță,https://fbref.com/en/players/a9a3b55d/Florin-Nita,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,37-008,1987,4.0,6,0,0,0.30,6.2,+0.06,+0.2,55.4,35,92,40.0,101,38.0,76.6,51.8,47,2,3.1,65,11,1.25,5,14.0,,https://fbref.com/en/players/a9a3b55d/matchlogs/2024/keeper/Florin-Nita-Match-Logs,0,
16,Jan Oblak,https://fbref.com/en/players/ee8508c0/Jan-Oblak,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,31-186,1993,4.3,2,0,0,1,5.8,+0.94,+3.8,10,30,0.28,60.2,83,78,43.8,62.2,45,45.9,3,99,38.5,3.0,1,0.25,8.6,https://fbref.com/en/players/ee8508c0/matchlogs/2024/keeper/Jan-Oblak-Match-Logs,,
17,Patrick Pentz,https://fbref.com/en/players/0810b6df/Patrick-Pentz,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,27-191,1997,4.0,6,0,16.6,3,4.8,-0.06,-0.2,42.9,18,1,13,133,0.43,27.1,30.1,15,40.0,39.5,56,42,3,5,5.4,1.25,https://fbref.com/en/players/0810b6df/matchlogs/2024/keeper/Patrick-Pentz-Match-Logs,,
18,Jordan Pickford,https://fbref.com/en/players/4806ec67/Jordan-Pickford,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,30-126,1994,6.7,4,0,0,0.21,3.6,-0.07,-0.4,31.6,40,98,31.2,225,40.8,67.5,52.7,40,1,1.6,64,32,0.67,4,18.2,,https://fbref.com/en/players/4806ec67/matchlogs/2024/keeper/Jordan-Pickford-Match-Logs,0,
19,Predrag Rajković,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,28-254,1995,3.0,2,0,0,0.31,3.1,+0.37,+1.1,47.1,13,46,36.6,85,28.3,35.3,36.6,17,4,11.8,34,19,0.33,1,8.4,,https://fbref.com/en/players/58ad9383/matchlogs/2024/keeper/Predrag-Rajkovic-Match-Logs,0,
20,David Raya,https://fbref.com/en/players/98ea5115/David-Raya,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-300,1995,1.0,0.8,0,0,8,3,0.21,+0.8,+0.84,36,10,37.5,5,,11.1,23.7,9,0.0,80.0,1,,53.4,0,19.0,1.00,https://fbref.com/en/players/98ea5115/matchlogs/2024/keeper/David-Raya-Match-Logs,0,0
21,Kasper Schmeichel,https://fbref.com/en/players/53af52f3/Kasper-Schmeichel,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,37-249,1986,4.0,4,0,0.00,1,6.0,+0.50,+2.0,48.6,18,1,13,91,0.32,25.3,30.4,21,66.7,49.0,37,37,2,0,5.4,8.2,https://fbref.com/en/players/53af52f3/matchlogs/2024/keeper/Kasper-Schmeichel-Match-Logs,,
22,Unai Simón,https://fbref.com/en/players/5dcf3e90/Unai-Simon,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,27-030,1997,5.3,3,0,0,1,5.4,+0.68,+3.4,26,24,0.32,27.9,172,67,31.3,61.3,31,45.5,6,69,35.8,8.7,3,0.60,13.3,https://fbref.com/en/players/5dcf3e90/matchlogs/2024/keeper/Unai-Simon-Match-Logs,,
23,Łukasz Skorupski,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,33-067,1991,1.0,1,0,0,1,3.4,0.30,+2.4,+2.40,3,8,37.5,16,5,18.8,29.8,13,12.9,38.5,16,1,33.9,2,2.00,6.3,https://fbref.com/en/players/ab4449d6/matchlogs/2024/keeper/Lukasz-Skorupski-Match-Logs,,
24,Yann Sommer,https://fbref.com/en/players/420c18a1/Yann-Sommer,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,35-207,1988,5.3,4,0,0,0.38,4.5,+0.11,+0.5,15.5,7,33,25.8,148,21.2,55.6,44.9,18,7,8.5,82,25,0.20,1,9.1,,https://fbref.com/en/players/420c18a1/matchlogs/2024/keeper/Yann-Sommer-Match-Logs,0,
25,Jindřich Staněk,https://fbref.com/en/players/eca17cf2/Jindrich-Stanek,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,28-075,1996,2.6,4,0,0.00,1,4.6,+0.61,+1.6,39.0,16,1,8,51,0.35,49.0,38.0,24,66.7,51.1,38,41,3,0,7.9,7.7,https://fbref.com/en/players/eca17cf2/matchlogs/2024/keeper/Jindrich-Stanek-Match-Logs,,
26,Thomas Strakosha,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-114,1995,3.0,5,0,0.00,1,5.9,+0.62,+1.9,44.7,21,1,14,62,0.34,48.4,37.0,30,56.7,47.0,49,47,3,0,6.1,5.9,https://fbref.com/en/players/339fe0e8/matchlogs/2024/keeper/Thomas-Strakosha-Match-Logs,,
27,Wojciech Szczęsny,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,34-084,1990,2.0,5,0,0,1,4.0,-0.49,-1.0,7,6,0.23,39.6,53,28,33.6,53.8,13,43.2,1.50,28,21.4,14.3,3,,,https://fbref.com/en/players/01b8a2b2/matchlogs/2024/keeper/Wojciech-Szczesny-Match-Logs,0,0.0
28,Anatolii Trubin,https://fbref.com/en/players/41f0b196/Anatolii-Trubin,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-345,2001,2.0,1,0,0,0.34,2.8,+0.88,+1.8,18.2,7,18,25.7,55,38.9,57.1,46.6,14,1.50,16.8,24,8,0.0,3,,,https://fbref.com/en/players/41f0b196/matchlogs/2024/keeper/Anatolii-Trubin-Match-Logs,0,0
29,Bart Verbruggen,https://fbref.com/en/players/cf134113/Bart-Verbruggen,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,21-328,2002,6.0,7,11.7,0.33,1,7.3,+0.22,+1.3,57,27,2,47.4,187,1,21,25.7,22,27.9,40.9,76,0.29,39.5,2,5,6.6,https://fbref.com/en/players/cf134113/matchlogs/2024/keeper/Bart-Verbruggen-Match-Logs,,