right,left,left href,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20
1,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,1,1,90,1.0,3,3.00,3,1,0.0,0,1,0,0.0,0,0,0,0,https://fbref.com/en/players/072e68ed/matchlogs/2024/keeper/Altay-Bayindir-Match-Logs,
2,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,4,4,360,4.0,2,1,0.50,14,1,0,13,0,2,0,,2,50.0,https://fbref.com/en/players/db401046/matchlogs/2024/keeper/Koen-Casteels-Match-Logs,85.7
3,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,5,5,510,5.7,3,2,0.53,14,2,0,11,0.0,1,1,1,3,60.0,https://fbref.com/en/players/93fffbcf/matchlogs/2024/keeper/Diogo-Costa-Match-Logs,85.7
4,Gianluigi Donnarumma,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-137,1999,4,4,360,4.0,5,1,1.25,17,1,0.0,12,0,2,1,0,1,100.0,https://fbref.com/en/players/08f5afaa/matchlogs/2024/keeper/Gianluigi-Donnarumma-Match-Logs,70.6
5,Martin Dúbravka,https://fbref.com/en/players/3a949a25/Martin-Dubravka,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,35-178,1989,4,4,390,4.3,5,1,1.15,16,1,0,11,0.0,2,1,1,1,25.0,https://fbref.com/en/players/3a949a25/matchlogs/2024/keeper/Martin-Dubravka-Match-Logs,75.0
6,Péter Gulácsi,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,34-066,1990,3,3,270,3.0,5,1,1.67,14,2,0,9,0,1,0,0,33.3,,https://fbref.com/en/players/bcb2ccd8/matchlogs/2024/keeper/Peter-Gulacsi-Match-Logs,64.3
7,Angus Gunn,https://fbref.com/en/players/e082af5b/Angus-Gunn,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,28-171,1996,3,3,270,3.0,7,1,2.33,19,2,0,12,0.0,1,1,0,0,0.0,https://fbref.com/en/players/e082af5b/matchlogs/2024/keeper/Angus-Gunn-Match-Logs,68.4
8,Mert Günok,https://fbref.com/en/players/b583aef5/Mert-Gunok,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,35-132,1989,4,4,360,4.0,5,3,1.25,19,1,0,15,0.0,,0,0,0,0,https://fbref.com/en/players/b583aef5/matchlogs/2024/keeper/Mert-Gunok-Match-Logs,73.7
9,Matej Kovar,https://fbref.com/en/players/bc67a0e1/Matej-Kovar,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,24-055,2000,1,36,0.4,2,1,2.50,1,0,,0,,0,0,0,0,0,0,https://fbref.com/en/players/bc67a0e1/matchlogs/2024/keeper/Matej-Kovar-Match-Logs,
10,Dominik Livaković,https://fbref.com/en/players/58f077c0/Dominik-Livakovic,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,29-184,1995,3,3,270,3.0,6,2,2.00,15,1,0,9,0.0,,0,0,0,0,https://fbref.com/en/players/58f077c0/matchlogs/2024/keeper/Dominik-Livakovic-Match-Logs,60.0
11,Andriy Lunin,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,25-151,1999,1,1,90,1.0,3,3.00,5,2,0.0,0,1,0,,0,0,0,0,https://fbref.com/en/players/3061e1ec/matchlogs/2024/keeper/Andriy-Lunin-Match-Logs,
12,Mike Maignan,https://fbref.com/en/players/fcb38f57/Mike-Maignan,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,29-008,1995,6,6,570,6.3,3,2,0.47,18,3,0,15,0.0,1,1,1,4,66.7,https://fbref.com/en/players/fcb38f57/matchlogs/2024/keeper/Mike-Maignan-Match-Logs,88.9
13,Giorgi Mamardashvili,https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-286,2000,4,4,360,4.0,8,1,2.00,38,1,0,30,0,2,0,,1,25.0,https://fbref.com/en/players/d4b73232/matchlogs/2024/keeper/Giorgi-Mamardashvili-Match-Logs,78.9
14,Manuel Neuer,https://fbref.com/en/players/8778c910/Manuel-Neuer,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,38-106,1986,5,5,480,5.3,4,3,0.75,14,1,0,11,0,1,0,,2,40.0,https://fbref.com/en/players/8778c910/matchlogs/2024/keeper/Manuel-Neuer-Match-Logs,71.4
15,Florin Niță,https://fbref.com/en/players/a9a3b55d/Florin-Nita,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,37-008,1987,4,4,360,4.0,6,1,1.50,21,1,0,15,0,2,0,,1,25.0,https://fbref.com/en/players/a9a3b55d/matchlogs/2024/keeper/Florin-Nita-Match-Logs,71.4
16,Jan Oblak,https://fbref.com/en/players/ee8508c0/Jan-Oblak,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,31-186,1993,4,4,390,4.3,2,4,0.46,17,2,0,14,0,50.0,1,0,1,100.0,https://fbref.com/en/players/ee8508c0/matchlogs/2024/keeper/Jan-Oblak-Match-Logs,88.2
17,Patrick Pentz,https://fbref.com/en/players/0810b6df/Patrick-Pentz,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,27-191,1997,4,4,360,4.0,6,2,1.50,11,2,0,6,0.0,,0,0,0,0,https://fbref.com/en/players/0810b6df/matchlogs/2024/keeper/Patrick-Pentz-Match-Logs,45.5
18,Jordan Pickford,https://fbref.com/en/players/4806ec67/Jordan-Pickford,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,30-126,1994,6,6,600,6.7,4,3,0.60,17,3,0,13,0,2,0,0,33.3,,https://fbref.com/en/players/4806ec67/matchlogs/2024/keeper/Jordan-Pickford-Match-Logs,76.5
19,Predrag Rajković,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,28-254,1995,3,3,270,3.0,2,2,0.67,10,1,0,8,0,1,0,0,33.3,,https://fbref.com/en/players/58ad9383/matchlogs/2024/keeper/Predrag-Rajkovic-Match-Logs,80.0
20,David Raya,https://fbref.com/en/players/98ea5115/David-Raya,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-300,1995,1,1,90,1.0,0,100.0,4,4,0.00,0,1,0,,0,0,0,,https://fbref.com/en/players/98ea5115/matchlogs/2024/keeper/David-Raya-Match-Logs,1
21,Kasper Schmeichel,https://fbref.com/en/players/53af52f3/Kasper-Schmeichel,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,37-249,1986,4,4,360,4.0,4,3,1.00,16,1,0,12,0,1,1,0.0,25.0,1,https://fbref.com/en/players/53af52f3/matchlogs/2024/keeper/Kasper-Schmeichel-Match-Logs,81.3
22,Unai Simón,https://fbref.com/en/players/5dcf3e90/Unai-Simon,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,27-030,1997,5,5,480,5.3,3,5,0.56,14,2,0,11,0,40.0,1,0,1,100.0,https://fbref.com/en/players/5dcf3e90/matchlogs/2024/keeper/Unai-Simon-Match-Logs,78.6
23,Łukasz Skorupski,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,33-067,1991,1,1,90,1.0,1,1.00,8,7,0.0,0,1,0,0.0,1,0,0,,https://fbref.com/en/players/ab4449d6/matchlogs/2024/keeper/Lukasz-Skorupski-Match-Logs,1
24,Yann Sommer,https://fbref.com/en/players/420c18a1/Yann-Sommer,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,35-207,1988,5,5,480,5.3,4,2,0.75,12,3,0,8,0,1,0,0,20.0,,https://fbref.com/en/players/420c18a1/matchlogs/2024/keeper/Yann-Sommer-Match-Logs,66.7
25,Jindřich Staněk,https://fbref.com/en/players/eca17cf2/Jindrich-Stanek,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,28-075,1996,3,3,234,2.6,4,1,1.54,12,2,0,9,0.0,1,1,0,0,0.0,https://fbref.com/en/players/eca17cf2/matchlogs/2024/keeper/Jindrich-Stanek-Match-Logs,75.0
26,Thomas Strakosha,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,29-114,1995,3,3,270,3.0,5,1,1.67,17,2,0,13,0.0,,0,0,0,0,https://fbref.com/en/players/339fe0e8/matchlogs/2024/keeper/Thomas-Strakosha-Match-Logs,70.6
27,Wojciech Szczęsny,https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,34-084,1990,2,2,180,2.0,5,2,2.50,13,1,0,8,0,0.0,1,0.0,0,0,https://fbref.com/en/players/01b8a2b2/matchlogs/2024/keeper/Wojciech-Szczesny-Match-Logs,69.2
28,Anatolii Trubin,https://fbref.com/en/players/41f0b196/Anatolii-Trubin,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-345,2001,2,2,180,2.0,1,1,0.50,9,1,0,8,0,1,0,0,50.0,,https://fbref.com/en/players/41f0b196/matchlogs/2024/keeper/Anatolii-Trubin-Match-Logs,88.9
29,Bart Verbruggen,https://fbref.com/en/players/cf134113/Bart-Verbruggen,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,21-328,2002,6,6,540,6.0,7,3,1.17,23,1,0,17,0.0,2,1,1,2,33.3,https://fbref.com/en/players/cf134113/matchlogs/2024/keeper/Bart-Verbruggen-Match-Logs,73.9